from,to,distance_km,predicted_flow,estimated_speed_kmh,travel_time_sec
2027,7970,0.003,800,53.86,30.18
2050,4912,0.0,800,53.86,30.0
2050,16693,0.0,800,53.86,30.0
2071,2071,0.0,800,53.86,30.0
2071,8224,0.0,800,53.86,30.0
2073,46695,0.0,800,53.86,30.0
2073,9968,0.022,800,53.86,31.49
2094,35212,0.038,800,53.86,32.56
2094,24086,0.151,800,53.86,40.12
2105,24009,0.021,800,53.86,31.41
2105,15777,0.022,800,53.86,31.48
2114,33967,0.014,800,53.86,30.96
2114,24605,0.022,800,53.86,31.46
2120,44555,0.006,800,53.86,30.43
2120,52556,0.006,800,53.86,30.43
2131,36128,0.076,800,53.86,35.05
2131,47438,0.117,800,53.86,37.83
2156,2798,0.001,800,53.86,30.05
2156,39866,0.014,800,53.86,30.96
2162,22081,0.005,800,53.86,30.36
2162,35530,0.039,800,53.86,32.58
2168,34398,0.001,800,53.86,30.1
2168,3218,0.001,800,53.86,30.1
2170,20025,0.015,800,53.86,31.0
2170,32805,0.019,800,53.86,31.26
2178,8573,0.021,800,53.86,31.43
2178,49893,0.021,800,53.86,31.43
2180,43561,0.021,800,53.86,31.38
2180,27030,0.021,800,53.86,31.38
2186,45145,0.023,800,53.86,31.51
2186,40908,0.03,800,53.86,31.98
2207,39315,0.001,800,53.86,30.04
2207,9425,0.002,800,53.86,30.13
2209,38770,0.007,800,53.86,30.46
2209,38755,0.022,800,53.86,31.45
2224,44278,0.015,800,53.86,30.97
2224,4231,0.039,800,53.86,32.58
2228,48396,0.006,800,53.86,30.43
2228,32102,0.02,800,53.86,31.32
2240,39676,0.044,800,53.86,32.97
2240,22107,0.05,800,53.86,33.31
2241,3225,0.021,800,53.86,31.37
2241,31362,0.03,800,53.86,32.0
2245,19737,0.021,800,53.86,31.39
2245,39903,0.023,800,53.86,31.56
2253,35595,0.025,800,53.86,31.67
2253,52962,0.125,800,53.86,38.36
2254,36713,0.02,800,53.86,31.35
2254,55449,0.159,800,53.86,40.63
2255,18323,0.002,800,53.86,30.16
2255,14070,0.017,800,53.86,31.11
2260,27098,0.006,800,53.86,30.37
2260,30389,0.011,800,53.86,30.76
2275,2754,0.043,800,53.86,32.88
2275,9424,0.044,800,53.86,32.94
2277,37151,0.007,800,53.86,30.46
2277,17297,0.054,800,53.86,33.64
2285,7324,0.008,800,53.86,30.52
2285,6794,0.008,800,53.86,30.52
2289,37705,0.011,800,53.86,30.77
2289,17149,0.019,800,53.86,31.25
2291,27835,0.021,800,53.86,31.41
2291,36431,0.023,800,53.86,31.57
2293,11192,0.0,800,53.86,30.03
2293,7406,0.0,800,53.86,30.03
2295,40574,0.006,800,53.86,30.38
